season,player_id,player,team,gp,mpg,ppg,rpg,apg,spg,bpg,jersey,all_nba,all_defense,champion,mvp,dpoy,roy
2025-26,1629023,P.J. Washington,DAL,56,31.0,14.2,7.0,1.8,1.0,1.1,25,,,False,False,False,False
2025-26,1642948,Ryan Nembhard,DAL,60,19.5,6.6,2.2,5.3,0.4,0.0,9,,,False,False,False,False
2025-26,203932,Aaron Gordon,DEN,36,27.9,16.2,5.8,2.7,0.6,0.3,32,,,False,False,False,False
2025-26,1628971,Bruce Brown,DEN,82,24.4,7.9,3.9,2.1,1.0,0.2,11,,,False,False,False,False
2025-26,1629661,Cameron Johnson,DEN,54,30.5,12.2,3.8,2.4,0.7,0.4,23,,,False,False,False,False
2025-26,1631128,Christian Braun,DEN,44,31.8,12.0,4.8,2.7,0.7,0.3,0,,,False,False,False,False
2025-26,1629618,Jalen Pickett,DEN,50,16.1,5.2,2.3,2.3,0.3,0.1,24,,,False,False,False,False
2025-26,1627750,Jamal Murray,DEN,75,35.4,25.4,4.4,7.1,0.9,0.4,27,3,,False,False,False,False
2025-26,202685,Jonas Valančiūnas,DEN,65,13.4,8.7,5.1,1.2,0.2,0.6,17,,,False,False,False,False
2025-26,1631124,Julian Strawther,DEN,57,15.1,7.2,2.0,1.1,0.4,0.1,3,,,False,False,False,False
2025-26,203999,Nikola Jokić,DEN,65,34.8,27.7,12.9,10.7,1.4,0.8,15,1,,False,False,False,False
2025-26,1631212,Peyton Watson,DEN,54,29.6,14.6,4.9,2.1,0.9,1.1,8,,,False,False,False,False
2025-26,1642461,Spencer Jones,DEN,64,22.1,5.5,3.3,0.8,0.8,0.5,21,,,False,False,False,False
2025-26,203501,Tim Hardaway Jr.,DEN,80,26.6,13.5,2.6,1.4,0.5,0.1,10,,,False,False,False,False
2025-26,1630192,Zeke Nnaji,DEN,52,12.0,3.7,2.6,0.6,0.3,0.5,22,,,False,False,False,False
2025-26,1641709,Ausar Thompson,DET,73,26.0,9.9,5.7,3.1,2.0,0.9,9,,1,False,False,False,False
2025-26,1630595,Cade Cunningham,DET,64,33.9,23.9,5.5,9.9,1.4,0.8,2,1,,False,False,False,False
2025-26,1627747,Caris LeVert,DET,60,19.2,7.4,1.9,2.6,0.8,0.7,8,,,False,False,False,False
2025-26,1642450,Daniss Jenkins,DET,72,20.2,9.3,2.3,3.9,0.9,0.2,24,,,False,False,False,False
2025-26,1629130,Duncan Robinson,DET,77,27.4,12.2,2.7,2.1,0.6,0.3,55,,,False,False,False,False
2025-26,1630191,Isaiah Stewart,DET,58,22.7,10.0,5.0,1.1,0.3,1.6,28,,,False,False,False,False
2025-26,1631093,Jaden Ivey,DET,33,16.8,8.2,2.2,1.6,0.5,0.4,23,,,False,False,False,False
2025-26,1631105,Jalen Duren,DET,70,28.2,19.5,10.5,2.0,0.8,0.8,0,3,,False,False,False,False
2025-26,1629750,Javonte Green,DET,82,17.6,6.9,2.8,0.7,1.2,0.3,31,,,False,False,False,False
2025-26,1628989,Kevin Huerter,DET,25,20.5,8.6,2.8,2.5,1.1,0.3,27,,,False,False,False,False
2025-26,1631204,Marcus Sasser,DET,38,12.0,5.2,1.0,2.0,0.5,0.1,25,,,False,False,False,False
2025-26,1630194,Paul Reed,DET,65,13.9,7.8,4.5,1.2,0.9,0.9,7,,,False,False,False,False
2025-26,1641842,Ronald Holland II,DET,78,19.9,8.2,4.0,1.2,1.2,0.3,5,,,False,False,False,False
2025-26,202699,Tobias Harris,DET,63,27.7,13.3,5.1,2.5,0.9,0.4,12,,,False,False,False,False
2025-26,201143,Al Horford,GSW,45,21.5,8.3,4.9,2.6,0.7,1.1,20,,,False,False,False,False
2025-26,1641764,Brandin Podziemski,GSW,82,28.4,13.8,5.1,3.7,1.1,0.2,2,,,False,False,False,False
2025-26,1627741,Buddy Hield,GSW,44,17.5,8.0,2.5,1.5,0.8,0.2,7,,,False,False,False,False
2025-26,1629001,De'Anthony Melton,GSW,49,23.0,12.3,3.2,2.6,1.6,0.4,8,,,False,False,False,False
2025-26,203110,Draymond Green,GSW,68,27.5,8.4,5.5,5.5,0.9,0.6,23,,,False,False,False,False
2025-26,1627780,Gary Payton II,GSW,73,15.6,7.5,3.6,1.7,0.9,0.3,0,,,False,False,False,False
2025-26,1630611,Gui Santos,GSW,68,20.5,9.2,3.9,2.3,0.9,0.3,15,,,False,False,False,False
2025-26,202710,Jimmy Butler III,GSW,38,31.1,20.0,5.6,4.9,1.4,0.2,10,,,False,False,False,False
2025-26,1630228,Jonathan Kuminga,GSW,20,23.8,12.1,5.8,2.5,0.4,0.3,1,,,False,False,False,False
2025-26,204001,Kristaps Porziņģis,GSW,15,23.7,16.1,5.3,2.3,0.6,1.1,7,,,False,False,False,False
2025-26,1643018,LJ Cryer,GSW,18,16.2,8.2,1.6,1.0,0.2,0.0,18,,,False,False,False,False
2025-26,1642502,Malevy Leons,GSW,25,11.1,3.3,2.1,0.9,0.6,0.4,33,,,False,False,False,False
2025-26,1630541,Moses Moody,GSW,60,25.7,12.1,3.3,1.6,1.0,0.6,4,,,False,False,False,False
2025-26,1630311,Pat Spencer,GSW,66,18.6,7.2,2.4,3.5,0.7,0.1,61,,,False,False,False,False
2025-26,1642366,Quinten Post,GSW,67,17.3,7.7,4.0,1.4,0.4,0.5,21,,,False,False,False,False
2025-26,201939,Stephen Curry,GSW,43,30.9,26.6,3.6,4.7,1.1,0.4,30,,,False,False,False,False
2025-26,1631218,Trayce Jackson-Davis,GSW,36,11.4,4.2,3.1,0.9,0.4,0.5,32,,,False,False,False,False
2025-26,1642954,Will Richard,GSW,69,20.0,6.4,2.5,1.3,1.2,0.1,3,,,False,False,False,False
2025-26,1628988,Aaron Holiday,HOU,57,13.7,5.5,1.0,1.1,0.5,0.1,0,,,False,False,False,False
2025-26,1630578,Alperen Sengun,HOU,72,33.3,20.4,8.9,6.2,1.2,1.1,28,,,False,False,False,False
2025-26,1641708,Amen Thompson,HOU,79,37.4,18.3,7.8,5.3,1.5,0.6,1,,,False,False,False,False
2025-26,203991,Clint Capela,HOU,75,12.3,3.8,4.6,0.7,0.5,0.8,30,,,False,False,False,False
2025-26,1627827,Dorian Finney-Smith,HOU,37,16.8,3.3,2.5,1.0,0.4,0.2,2,,,False,False,False,False
2025-26,1631095,Jabari Smith Jr.,HOU,77,35.1,15.8,6.9,1.9,0.7,0.9,10,,,False,False,False,False
2025-26,1629006,Josh Okogie,HOU,78,17.4,4.5,2.6,0.9,0.8,0.2,20,,,False,False,False,False
2025-26,201142,Kevin Durant,HOU,78,36.4,26.0,5.5,4.8,0.8,0.9,7,2,,False,False,False,False
2025-26,1642263,Reed Sheppard,HOU,82,26.2,13.5,2.9,3.4,1.5,0.7,15,,,False,False,False,False
2025-26,203500,Steven Adams,HOU,32,22.8,5.8,8.6,1.5,0.7,0.6,12,,,False,False,False,False
2025-26,1631106,Tari Eason,HOU,60,25.8,10.4,6.3,1.5,1.2,0.5,17,,,False,False,False,False
2025-26,1630174,Aaron Nesmith,IND,45,29.7,13.8,4.2,1.9,0.6,0.5,23,,,False,False,False,False
2025-26,1629614,Andrew Nembhard,IND,57,31.3,16.9,2.8,7.7,0.9,0.1,2,,,False,False,False,False
2025-26,1641767,Ben Sheppard,IND,65,21.4,7.1,3.0,1.8,0.6,0.1,26,,,False,False,False,False
2025-26,1631097,Bennedict Mathurin,IND,28,31.8,17.8,5.4,2.2,0.6,0.1,0,,,False,False,False,False
2025-26,1630679,Ethan Thompson,IND,32,20.4,7.0,2.2,1.8,0.6,0.3,55,,,False,False,False,False
2025-26,1629726,Garrison Mathews,IND,15,13.1,5.2,1.1,0.7,0.4,0.2,24,,,False,False,False,False
2025-26,1630543,Isaiah Jackson,IND,38,16.8,6.4,5.6,0.8,0.7,0.8,22,,,False,False,False,False
2025-26,1641716,Jarace Walker,IND,76,25.7,11.6,5.1,2.5,0.8,0.3,5,,,False,False,False,False
2025-26,1630643,Jay Huff,IND,82,21.0,9.5,4.0,1.5,0.5,1.9,32,,,False,False,False,False
2025-26,1630526,Jeremiah Robinson-Earl,IND,17,17.6,4.6,5.2,0.7,0.4,0.1,25,,,False,False,False,False
2025-26,1642277,Johnny Furphy,IND,35,18.4,5.1,4.4,1.2,0.6,0.2,12,,,False,False,False,False
2025-26,1642880,Kam Jones,IND,37,16.7,4.4,1.6,3.2,0.5,0.0,7,,,False,False,False,False
2025-26,1641738,Kobe Brown,IND,27,24.7,9.4,4.9,2.0,0.5,0.4,24,,,False,False,False,False
2025-26,1630695,Micah Potter,IND,47,19.3,9.7,5.0,1.5,0.5,0.3,11,,,False,False,False,False
2025-26,1630167,Obi Toppin,IND,24,17.7,11.6,4.4,2.3,0.5,0.0,1,,,False,False,False,False
2025-26,1627783,Pascal Siakam,IND,62,33.2,24.0,6.6,3.8,1.1,0.4,43,,,False,False,False,False
2025-26,1631245,Quenton Jackson,IND,49,18.3,9.1,2.3,2.9,0.6,0.1,29,,,False,False,False,False
2025-26,204456,T.J. McConnell,IND,56,17.2,9.4,2.2,5.1,1.0,0.2,9,,,False,False,False,False
2025-26,1643007,Taelon Peter,IND,38,13.0,4.5,1.6,1.1,0.7,0.1,4,,,False,False,False,False
2025-26,1628396,Tony Bradley,IND,38,11.0,4.0,2.8,0.5,0.2,0.2,13,,,False,False,False,False
2025-26,1631097,Bennedict Mathurin,LAC,26,28.0,17.4,5.5,2.5,1.0,0.3,9,,,False,False,False,False
2025-26,203992,Bogdan Bogdanović,LAC,23,19.7,7.4,2.6,2.2,0.4,0.1,10,,,False,False,False,False
2025-26,201572,Brook Lopez,LAC,75,21.8,8.5,3.6,1.3,0.6,1.2,11,,,False,False,False,False
2025-26,101108,Chris Paul,LAC,16,14.2,2.9,1.8,3.3,0.7,0.0,3,,,False,False,False,False
2025-26,1629636,Darius Garland,LAC,19,29.1,19.9,2.3,6.4,1.2,0.3,10,,,False,False,False,False
2025-26,1627884,Derrick Jones Jr.,LAC,50,27.0,10.1,3.5,1.4,0.9,1.0,5,,,False,False,False,False
2025-26,1630543,Isaiah Jackson,LAC,17,15.9,7.5,4.6,1.2,0.6,1.2,23,,,False,False,False,False
2025-26,1627826,Ivica Zubac,LAC,43,30.9,14.4,11.0,2.2,0.4,0.8,40,,,False,False,False,False
2025-26,201935,James Harden,LAC,44,35.4,25.4,4.8,8.1,1.3,0.4,1,,,False,False,False,False
