team,player_id,player,listed_numbers,verified_final_jersey,source,status
MEM,1642907,Cedric Coward,23,23,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1641713,GG Jackson,45,45,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1629630,Ja Morant,12,12,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1642942,Jahmai Mashack,21,21,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1628991,Jaren Jackson Jr.,8,8,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1642914,Javon Small,10,10,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1642377,Jaylen Wells,0,0,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1629111,Jock Landale,31,31,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1629723,John Konchar,46,46,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,203484,Kentavious Caldwell-Pope,3,3,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1641765,Olivier-Maxence Prosper,18,18,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1641712,Rayan Rupert,32,32,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1630583,Santi Aldama,7,7,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1641707,Taylor Hendricks,22,22,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1629660,Ty Jerome,2,2,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1631246,Vince Williams Jr.,5,5,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MEM,1642383,Walter Clayton Jr.,4,4,https://www.basketball-reference.com/teams/MEM/2026.html,VERIFIED
MIA,203952,Andrew Wiggins,22,22,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1628389,Bam Adebayo,13,13,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1630558,Davion Mitchell,45,45,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1630696,Dru Smith,12,12,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1631170,Jaime Jaquez Jr.,11,11,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1642857,Kasparas Jakučionis,25,25,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1642276,Kel'el Ware,7,7,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1631107,Nikola Jović,5,5,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1626181,Norman Powell,24,24,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1641796,Pelle Larsson,9,9,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1631323,Simone Fontecchio,0,0,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIA,1629639,Tyler Herro,14,14,https://www.basketball-reference.com/teams/MIA/2026.html,VERIFIED
MIL,1631260,AJ Green,20,20,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1626171,Bobby Portis,9,9,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1630560,Cam Thomas,24,24,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1630175,Cole Anthony,50,50,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,203914,Gary Harris,11,11,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1629018,Gary Trent Jr.,5,5,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,203507,Giannis Antetokounmpo,34,34,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1630579,Jericho Sims,0,0,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1629645,Kevin Porter Jr.,7,7,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1628398,Kyle Kuzma,18,18,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1626167,Myles Turner,3,3,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
MIL,1631172,Ousmane Dieng,21,21,https://www.basketball-reference.com/teams/MIL/2026.html,VERIFIED
